Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-04-01T20:45:00+01:00;01;04;2023;2023-04-01;20:45;928212.348852;336683.9503;208381.5144;88894.6988;1562172.5123519998
2023-04-02T07:15:00+01:00;02;04;2023;2023-04-02;07:15;461205.818769;283360.5656;198050.8776;71634.4915;1014251.753469
2023-04-02T13:15:00+01:00;02;04;2023;2023-04-02;13:15;698497.714514;263012.2886;188308.2204;67522.0303;1217340.253814
2023-04-03T04:45:00+01:00;03;04;2023;2023-04-03;04:45;451766.29422;303124.9614;203783.5308;85938.7147;1044613.50112
2023-04-06T17:15:00+01:00;06;04;2023;2023-04-06;17:15;648054.091296;522400.2038;206110.4744;73576.2317;1450141.0011960003
2023-04-07T11:00:00+01:00;07;04;2023;2023-04-07;11:00;669168.70604;320072.629;178709.1826;83688.9913;1251639.50894
2023-04-08T02:00:00+01:00;08;04;2023;2023-04-08;02:00;497595.926143;278882.5893;184932.305;63199.6876;1024610.5080429999
2023-04-10T07:30:00+01:00;10;04;2023;2023-04-10;07:30;481117.917806;348823.1153;187919.5682;68503.4055;1086364.006806
2023-04-11T00:45:00+01:00;11;04;2023;2023-04-11;00:45;544438.833174;347573.1917;192951.7598;90369.7131;1175333.497774
2023-04-11T03:00:00+01:00;11;04;2023;2023-04-11;03:00;455241.362457;334969.9724;186358.784;79013.378;1055583.496857
2023-04-11T18:15:00+01:00;11;04;2023;2023-04-11;18:15;659974.372622;513486.823;205560.6518;71854.9134;1450876.760822
2023-04-12T10:45:00+01:00;12;04;2023;2023-04-12;10:45;744470.779613;630360.2613;200023.447;92771.0022;1667625.490113
2023-04-13T08:15:00+01:00;13;04;2023;2023-04-13;08:15;623561.060037;563168.2929;212044.1802;86010.2251;1484783.7582369999
2023-04-16T02:30:00+01:00;16;04;2023;2023-04-16;02:30;494100.732094;273718.2888;197993.0848;88909.6476;1054721.753294
