Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Portalegre;Campo Maior;São João Baptista;Não;27;12;1204;120403;Sim
2024;9;2024-09;Aveiro;Oliveira de Azeméis;Macieira de Sarnes;Não;34;01;0113;011305;Sim
2024;9;2024-09;Braga;Barcelos;Barqueiros;Sim;978;03;0302;030215;Sim
2024;9;2024-09;Braga;Vila Verde;Vade;Sim;679;03;0313;031369;Sim
2024;9;2024-09;Viseu;Vila Nova de Paiva;Touro;Sim;749;18;1822;182205;Sim
2024;9;2024-09;Coimbra;Arganil;Piódão;Não;130;06;0601;060111;Sim
2024;9;2024-09;Braga;Vila Nova de Famalicão;Seide;Sim;241;03;0312;031258;Sim
2024;9;2024-09;Porto;Amarante;Lomba;Sim;492;13;1301;130119;Sim
2024;9;2024-09;Portalegre;Avis;Alcórrego e Maranhão;Não;3;12;1203;120309;Sim
2024;9;2024-09;Braga;Póvoa de Lanhoso;Fonte Arcada e Oliveira;Não;12;03;0309;030934;Sim
2024;9;2024-09;Lisboa;Amadora;Mina de Água;Não;110;11;1115;111516;Sim
2024;9;2024-09;Santarém;Vila Nova da Barquinha;Praia do Ribatejo;Sim;978;14;1420;142002;Sim
2024;9;2024-09;Porto;Marco de Canaveses;Constance;Não;29;13;1307;130705;Sim
2024;9;2024-09;Santarém;Ourém;Freixianda, Ribeira do Farrio e Formigais;Não;68;14;1421;142119;Sim
2024;9;2024-09;Porto;Felgueiras;Pedreira, Rande e Sernande;Não;24;13;1303;130336;Sim
2024;9;2024-09;Porto;Penafiel;Luzim e Vila Cova;Sim;794;13;1311;131140;Sim
2024;9;2024-09;Aveiro;Anadia;Tamengos, Aguim e Óis do Bairro;Sim;2037;01;0103;010318;Sim
2024;9;2024-09;Beja;Ourique;Santana da Serra;Sim;468;02;0212;021206;Sim
2024;9;2024-09;Braga;Fafe;Cepães e Fareja;Não;16;03;0307;030741;Sim
2024;9;2024-09;Porto;Vila do Conde;Árvore;Não;44;13;1316;131602;Sim
2024;9;2024-09;Guarda;Vila Nova de Foz Côa;Touça;Não;12;09;0914;091416;Sim
2024;9;2024-09;Aveiro;Vale de Cambra;Macieira de Cambra;Sim;2620;01;0119;011906;Sim
2024;9;2024-09;Aveiro;Aveiro;Requeixo, Nossa Senhora de Fátima e Nariz;Sim;2307;01;0105;010516;Sim
2024;9;2024-09;Portalegre;Campo Maior;São João Baptista;Sim;2297;12;1204;120403;Sim
2024;9;2024-09;Coimbra;Coimbra;São Silvestre;Sim;1387;06;0603;060324;Sim
2024;9;2024-09;Évora;Borba;Rio de Moinhos;Não;181;07;0703;070303;Sim
2024;9;2024-09;Guarda;Sabugal;Vila Boa;Sim;281;09;0911;091138;Sim
2024;9;2024-09;Viseu;Armamar;Folgosa;Sim;246;18;1801;180106;Sim
2024;9;2024-09;Leiria;Figueiró dos Vinhos;Aguda;Sim;821;10;1008;100801;Sim
