;Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
27;2023-01-25T06:30:00+00:00;25;1;2023;2023-01-25;06:30;0.43193667937500807;0.619610810612172;0.7964637454660273;0.7561974555984867;0.590281346824045
28;2023-01-26T04:15:00+00:00;26;1;2023;2023-01-26;04:15;0.3925744085811966;0.5363445459334619;0.791746625788094;0.6209328810635495;0.5323863307755362
29;2023-01-26T21:45:00+00:00;26;1;2023;2023-01-26;21:45;0.8402564944785859;0.6739653141155426;0.8415374892634703;0.44410237802164837;0.8735962885656539
30;2023-01-27T08:15:00+00:00;27;1;2023;2023-01-27;08:15;0.5743991208964789;0.8498711377885672;0.8701140933697685;0.7954786791689133;0.7642789058621305
31;2023-01-28T22:30:00+00:00;28;1;2023;2023-01-28;22:30;0.7339447184706662;0.4341385645313474;0.7468913352946929;0.5618424023528849;0.7261559660534368
32;2023-01-29T10:00:00+00:00;29;1;2023;2023-01-29;10:00;0.5494026849517503;0.3969802004743972;0.7278254794452172;0.7638168972829065;0.5972264608303369
33;2023-01-30T07:30:00+00:00;30;1;2023;2023-01-30;07:30;0.5095585001231734;0.6466605300222545;0.8505097140318333;0.761968580283315;0.6565778274364888
34;2023-01-30T16:30:00+00:00;30;1;2023;2023-01-30;16:30;0.5894619978029095;0.8942428499285898;0.8219483739763833;0.446606979523405;0.767224953145382
35;2023-02-02T06:00:00+00:00;2;2;2023;2023-02-02;06:00;0.4049761104306442;0.5653957476279873;0.8266469389024412;0.7017502831310544;0.5565261683646487
36;2023-02-03T01:15:00+00:00;3;2;2023;2023-02-03;01:15;0.46373187492837553;0.5556824536201063;0.8000734640123153;0.658536005088288;0.5888452783909324
37;2023-02-06T08:45:00+00:00;6;2;2023;2023-02-06;08:45;0.5485301278251903;0.8641424659794054;0.8532775598640541;0.6683898181766462;0.7436205502325998
