Trimestre;Distrito;Concelho;Freguesias;Escalão de potência instalada (kW);Número de instalacões;Potência total instalada UPAC (kW);Código Distrito;Código Concelho;Código Freguesia
2023T3;Braga;Barcelos;Gilmonde;]4, 20.7];2;25.0;03;0302;030237
2023T3;Braga;Barcelos;Lijó;]4, 20.7];14;158.29;03;0302;030243
2023T3;Braga;Barcelos;Macieira de Rates;]4, 20.7];14;195.2;03;0302;030244
2023T3;Braga;Barcelos;Manhente;]4, 20.7];3;39.14;03;0302;030245
2023T3;Braga;Barcelos;Martim;]4, 20.7];1;8.8;03;0302;030247
2023T3;Braga;Barcelos;Oliveira;]4, 20.7];3;33.52;03;0302;030254
2023T3;Braga;Barcelos;Pereira;]4, 20.7];1;10.0;03;0302;030259
2023T3;Braga;Barcelos;Perelhal;]4, 20.7];5;64.8;03;0302;030260
2023T3;Braga;Barcelos;Remelhe;]4, 20.7];4;48.0;03;0302;030263
2023T3;Braga;Barcelos;Roriz;]4, 20.7];11;134.68;03;0302;030264
2023T3;Braga;Barcelos;Rio Covo (Santa Eugénia);]4, 20.7];3;34.15;03;0302;030265
2023T3;Braga;Barcelos;Tamel (São Veríssimo);]4, 20.7];11;158.43;03;0302;030277
2023T3;Braga;Barcelos;Silva;]4, 20.7];3;45.08;03;0302;030279
2023T3;Braga;Barcelos;Alvito (São Pedro e São Martinho) e Couto;]4, 20.7];4;60.12;03;0302;030291
2023T3;Braga;Barcelos;Areias de Vilar e Encourados;]4, 20.7];7;84.0;03;0302;030292
2023T3;Braga;Barcelos;Tamel (Santa Leocádia) e Vilar do Monte;]4, 20.7];4;25.44;03;0302;0302FF
2023T3;Braga;Barcelos;Vila Cova e Feitos;]4, 20.7];3;29.07;03;0302;0302FH
2023T3;Braga;Braga;Figueiredo;]4, 20.7];1;8.1;03;0303;030315
2023T3;Braga;Braga;Gualtar;]4, 20.7];6;46.89;03;0303;030319
2023T3;Braga;Braga;Mire de Tibães;]4, 20.7];3;36.88;03;0303;030325
2023T3;Braga;Braga;Pedralva;]4, 20.7];1;14.56;03;0303;030334
2023T3;Braga;Braga;Ruilhe;]4, 20.7];1;4.2;03;0303;030338
2023T3;Braga;Braga;Braga (São Vicente);]4, 20.7];9;95.27;03;0303;030349
2023T3;Braga;Braga;Sequeira;]4, 20.7];6;60.0;03;0303;030354
2023T3;Braga;Braga;Escudeiros e Penso (Santo Estêvão e São Vicente);]4, 20.7];2;40.48;03;0303;030369
2023T3;Braga;Braga;Este (São Pedro e São Mamede);]4, 20.7];10;115.17;03;0303;030370
2023T3;Braga;Braga;Ferreiros e Gondizalves;]4, 20.7];10;74.08;03;0303;030371
2023T3;Braga;Braga;Guisande e Oliveira (São Pedro);]4, 20.7];1;12.0;03;0303;030372
2023T3;Braga;Braga;Merelim (São Paio), Panoias e Parada de Tibães;]4, 20.7];5;66.0;03;0303;030374
2023T3;Braga;Braga;Nogueiró e Tenões;]4, 20.7];21;162.01;03;0303;030378
2023T3;Braga;Braga;Real, Dume e Semelhe;]4, 20.7];14;96.48;03;0303;030379
2023T3;Braga;Cabeceiras de Basto;Basto;]4, 20.7];2;18.0;03;0304;030404
2023T3;Braga;Cabeceiras de Basto;Cabeceiras de Basto;]4, 20.7];1;11.2;03;0304;030406
2023T3;Braga;Cabeceiras de Basto;Cavez;]4, 20.7];2;40.0;03;0304;030407
2023T3;Braga;Cabeceiras de Basto;Pedraça;]4, 20.7];1;20.0;03;0304;030413
2023T3;Braga;Celorico de Basto;Rego;]4, 20.7];3;40.0;03;0305;030517
2023T3;Braga;Celorico de Basto;Basto (São Clemente);]4, 20.7];3;19.2;03;0305;030520
2023T3;Braga;Celorico de Basto;Vale de Bouro;]4, 20.7];1;6.12;03;0305;030521
2023T3;Braga;Celorico de Basto;Britelo, Gémeos e Ourilhe;]4, 20.7];3;21.7;03;0305;030523
2023T3;Braga;Esposende;Antas;]4, 20.7];3;17.18;03;0306;030601
2023T3;Braga;Esposende;Vila Chã;]4, 20.7];2;16.8;03;0306;030615
2023T3;Braga;Fafe;Estorãos;]4, 20.7];1;5.5;03;0307;030708
2023T3;Braga;Fafe;Fornelos;]4, 20.7];1;4.16;03;0307;030712
2023T3;Braga;Fafe;Medelo;]4, 20.7];1;20.0;03;0307;030716
2023T3;Braga;Fafe;Arões (Santa Cristina);]4, 20.7];1;12.0;03;0307;030726
2023T3;Braga;Fafe;Freitas e Vila Cova;]4, 20.7];1;12.6;03;0307;030742
2023T3;Braga;Guimarães;Costa;]4, 20.7];11;116.02;03;0308;030812
2023T3;Braga;Guimarães;Fermentões;]4, 20.7];7;82.28;03;0308;030815
2023T3;Braga;Guimarães;Gonça;]4, 20.7];2;24.42;03;0308;030820
2023T3;Braga;Guimarães;Gondar;]4, 20.7];4;49.9;03;0308;030821
2023T3;Braga;Guimarães;Guardizela;]4, 20.7];7;87.99;03;0308;030823
2023T3;Braga;Guimarães;Mesão Frio;]4, 20.7];6;48.01;03;0308;030830
2023T3;Braga;Guimarães;Nespereira;]4, 20.7];3;36.6;03;0308;030832
2023T3;Braga;Guimarães;Ronfe;]4, 20.7];2;18.87;03;0308;030840
2023T3;Braga;Guimarães;Prazins (Santa Eufémia);]4, 20.7];1;12.0;03;0308;030842
2023T3;Braga;Guimarães;Serzedelo;]4, 20.7];6;60.95;03;0308;030866
2023T3;Braga;Guimarães;Arosa e Castelões;]4, 20.7];2;14.44;03;0308;030877
2023T3;Braga;Guimarães;Sande São Lourenço e Balazar;]4, 20.7];1;12.0;03;0308;030886
2023T3;Braga;Guimarães;Sande Vila Nova e Sande São Clemente;]4, 20.7];10;143.7;03;0308;030887
2023T3;Braga;Guimarães;Selho São Lourenço e Gominhães;]4, 20.7];3;25.63;03;0308;030888
2023T3;Braga;Guimarães;Souto Santa Maria, Souto São Salvador e Gondomar;]4, 20.7];8;81.02;03;0308;030890
2023T3;Braga;Póvoa de Lanhoso;Serzedelo;]4, 20.7];3;25.72;03;0309;030924
2023T3;Braga;Póvoa de Lanhoso;Taíde;]4, 20.7];4;34.88;03;0309;030926
2023T3;Braga;Póvoa de Lanhoso;Vilela;]4, 20.7];3;34.0;03;0309;030929
2023T3;Braga;Terras de Bouro;Carvalheira;]4, 20.7];1;5.0;03;0310;031004
2023T3;Braga;Terras de Bouro;Rio Caldo;]4, 20.7];2;14.55;03;0310;031013
2023T3;Braga;Terras de Bouro;Souto;]4, 20.7];1;10.0;03;0310;031014
2023T3;Braga;Terras de Bouro;Vilar da Veiga;]4, 20.7];1;12.0;03;0310;031017
2023T3;Braga;Vieira do Minho;Tabuaças;]4, 20.7];2;18.0;03;0311;031118
2023T3;Braga;Vieira do Minho;Caniçada e Soengas;]4, 20.7];1;5.58;03;0311;031124
2023T3;Braga;Vila Nova de Famalicão;Bairro;]4, 20.7];3;47.0;03;0312;031204
2023T3;Braga;Vila Nova de Famalicão;Castelões;]4, 20.7];3;20.6;03;0312;031210
2023T3;Braga;Vila Nova de Famalicão;Delães;]4, 20.7];3;48.5;03;0312;031213
2023T3;Braga;Vila Nova de Famalicão;Gavião;]4, 20.7];10;92.11;03;0312;031216
2023T3;Braga;Vila Nova de Famalicão;Lousado;]4, 20.7];3;19.0;03;0312;031224
2023T3;Braga;Vila Nova de Famalicão;Pedome;]4, 20.7];1;11.0;03;0312;031230
2023T3;Braga;Vila Nova de Famalicão;Vermoim;]4, 20.7];5;45.12;03;0312;031247
2023T3;Braga;Vila Nova de Famalicão;Antas e Abade de Vermoim;]4, 20.7];5;61.66;03;0312;031250
2023T3;Braga;Vila Nova de Famalicão;Carreira e Bente;]4, 20.7];1;6.56;03;0312;031253
2023T3;Braga;Vila Nova de Famalicão;Esmeriz e Cabeçudos;]4, 20.7];5;62.38;03;0312;031254
2023T3;Braga;Vila Nova de Famalicão;Ruivães e Novais;]4, 20.7];2;27.5;03;0312;031257
2023T3;Braga;Vila Verde;Cabanelas;]4, 20.7];2;19.62;03;0313;031308
2023T3;Braga;Vila Verde;Lage;]4, 20.7];6;61.34;03;0313;031323
2023T3;Braga;Vila Verde;Loureira;]4, 20.7];1;9.5;03;0313;031325
2023T3;Braga;Vila Verde;Moure;]4, 20.7];3;19.52;03;0313;031328
2023T3;Braga;Vila Verde;Ribeira do Neiva;]4, 20.7];4;33.9;03;0313;031360
2023T3;Braga;Vila Verde;Escariz (São Mamede) e Escariz (São Martinho);]4, 20.7];1;11.34;03;0313;031362
2023T3;Braga;Vila Verde;Marrancos e Arcozelo;]4, 20.7];2;20.12;03;0313;031364
2023T3;Braga;Vila Verde;Valbom (São Pedro), Passô e Valbom (São Martinho);]4, 20.7];1;12.0;03;0313;031368
2023T3;Braga;Vila Verde;Vila Verde e Barbudo;]4, 20.7];7;67.94;03;0313;031370
2023T3;Bragança;Alfândega da Fé;Alfândega da Fé;]4, 20.7];7;104.45;04;0401;040102
2023T3;Bragança;Alfândega da Fé;Gebelim e Soeima;]4, 20.7];1;6.0;04;0401;040124
2023T3;Bragança;Bragança;Nogueira;]4, 20.7];4;36.0;04;0402;040225
2023T3;Bragança;Bragança;Outeiro;]4, 20.7];1;5.0;04;0402;040226
2023T3;Bragança;Bragança;Rebordãos;]4, 20.7];1;20.0;04;0402;040236
2023T3;Bragança;Bragança;Samil;]4, 20.7];5;57.64;04;0402;040240
2023T3;Bragança;Bragança;Izeda, Calvelhe e Paradinha Nova;]4, 20.7];3;32.0;04;0402;040252
2023T3;Bragança;Bragança;Rio Frio e Milhão;]4, 20.7];1;10.0;04;0402;040255
2023T3;Bragança;Carrazeda de Ansiães;Carrazeda de Ansiães;]4, 20.7];3;47.1;04;0403;040304
2023T3;Bragança;Freixo de Espada À Cinta;Ligares;]4, 20.7];1;18.0;04;0404;040404
2023T3;Bragança;Macedo de Cavaleiros;Lamas;]4, 20.7];1;17.76;04;0405;040518
2023T3;Bragança;Macedo de Cavaleiros;Macedo de Cavaleiros;]4, 20.7];4;43.52;04;0405;040520
2023T3;Bragança;Miranda do douro;Duas Igrejas;]4, 20.7];1;20.0;04;0406;040604
2023T3;Bragança;Miranda do douro;Miranda do Douro;]4, 20.7];3;23.42;04;0406;040608
2023T3;Bragança;Miranda do douro;Sendim e Atenor;]4, 20.7];3;31.83;04;0406;040620
2023T3;Bragança;Mirandela;Bouça;]4, 20.7];1;12.0;04;0407;040708
2023T3;Bragança;Mirandela;Lamas de Orelhão;]4, 20.7];1;20.0;04;0407;040718
2023T3;Bragança;Mirandela;Mascarenhas;]4, 20.7];7;58.0;04;0407;040720
2023T3;Bragança;Mirandela;Torre de Dona Chama;]4, 20.7];2;8.4;04;0407;040730
2023T3;Bragança;Mogadouro;Azinhoso;]4, 20.7];1;20.0;04;0408;040801
2023T3;Bragança;Mogadouro;Penas Roias;]4, 20.7];1;9.9;04;0408;040812
2023T3;Bragança;Mogadouro;Tó;]4, 20.7];1;10.0;04;0408;040819
2023T3;Bragança;Mogadouro;Mogadouro, Valverde, Vale de Porco e Vilar de Rei;]4, 20.7];2;17.52;04;0408;040830
2023T3;Bragança;Torre de Moncorvo;Adeganha e Cardanha;]4, 20.7];1;8.25;04;0409;040918
2023T3;Bragança;Vila Flor;Samões;]4, 20.7];1;6.0;04;0410;041010
2023T3;Bragança;Vimioso;Vimioso;]4, 20.7];2;11.4;04;0411;041114
2023T3;Bragança;Vinhais;Vilar Seco de Lomba;]4, 20.7];1;5.0;04;0412;041234
2023T3;Bragança;Vinhais;Vinhais;]4, 20.7];3;38.15;04;0412;041235
2023T3;Bragança;Vinhais;Curopos e Vale de Janeiro;]4, 20.7];1;10.0;04;0412;041236
2023T3;Bragança;Vinhais;Sobreiro de Baixo e Alvaredos;]4, 20.7];2;16.32;04;0412;041240
2023T3;Castelo Branco;Belmonte;Belmonte e Colmeal da Torre;]4, 20.7];2;18.0;05;0501;050106
2023T3;Castelo Branco;Castelo Branco;Lardosa;]4, 20.7];5;25.0;05;0502;050211
2023T3;Castelo Branco;Covilhã;Ferro;]4, 20.7];5;42.69;05;0503;050311
2023T3;Castelo Branco;Covilhã;Paul;]4, 20.7];3;22.7;05;0503;050314
2023T3;Castelo Branco;Covilhã;Peraboa;]4, 20.7];4;24.09;05;0503;050315
2023T3;Castelo Branco;Covilhã;Covilhã e Canhoso;]4, 20.7];24;253.59;05;0503;050335
2023T3;Castelo Branco;Covilhã;Teixoso e Sarzedo;]4, 20.7];1;16.2;05;0503;050337
2023T3;Castelo Branco;Fundão;Alcaide;]4, 20.7];1;4.2;05;0504;050401
2023T3;Castelo Branco;Fundão;Alcaria;]4, 20.7];4;40.67;05;0504;050402
2023T3;Castelo Branco;Fundão;Capinha;]4, 20.7];1;14.2;05;0504;050411
2023T3;Castelo Branco;Fundão;Castelo Novo;]4, 20.7];2;18.2;05;0504;050413
2023T3;Castelo Branco;Fundão;Fatela;]4, 20.7];1;18.34;05;0504;050416
2023T3;Castelo Branco;Fundão;Silvares;]4, 20.7];2;10.44;05;0504;050424
2023T3;Castelo Branco;Fundão;Enxames;]4, 20.7];1;15.0;05;0504;050431
2023T3;Castelo Branco;Idanha-a-Nova;Aldeia de Santa Margarida;]4, 20.7];1;10.0;05;0505;050502
2023T3;Castelo Branco;Idanha-a-Nova;Penha Garcia;]4, 20.7];1;10.0;05;0505;050510
2023T3;Castelo Branco;Idanha-a-Nova;São Miguel de Acha;]4, 20.7];1;12.18;05;0505;050514
2023T3;Castelo Branco;Idanha-a-Nova;Monfortinho e Salvaterra do Extremo;]4, 20.7];1;6.0;05;0505;050519
2023T3;Castelo Branco;Penamacor;Pedrógão de São Pedro e Bemposta;]4, 20.7];2;11.3;05;0507;050714
2023T3;Castelo Branco;Proença-a-Nova;Proença-a-Nova e Peral;]4, 20.7];17;173.19;05;0508;050807
2023T3;Castelo Branco;Proença-a-Nova;Sobreira Formosa e Alvito da Beira;]4, 20.7];4;30.13;05;0508;050808
2023T3;Castelo Branco;Sertã;Cumeada e Marmeleiro;]4, 20.7];2;10.5;05;0509;050916
2023T3;Coimbra;Arganil;Sarzedo;]4, 20.7];1;8.25;06;0601;060115
2023T3;Coimbra;Arganil;Secarias;]4, 20.7];2;31.9;06;0601;060116
2023T3;Coimbra;Cantanhede;Ançã;]4, 20.7];1;6.0;06;0602;060201
2023T3;Coimbra;Cantanhede;Sanguinheira;]4, 20.7];2;12.41;06;0602;060218
2023T3;Coimbra;Cantanhede;Covões e Camarneira;]4, 20.7];7;73.24;06;0602;060221
2023T3;Coimbra;Cantanhede;Sepins e Bolho;]4, 20.7];4;42.0;06;0602;060223
2023T3;Coimbra;Cantanhede;Vilamar e Corticeiro de Cima;]4, 20.7];2;25.48;06;0602;060224
2023T3;Coimbra;Coimbra;Brasfemes;]4, 20.7];5;28.54;06;0603;060309
2023T3;Coimbra;Coimbra;Cernache;]4, 20.7];6;39.84;06;0603;060312
2023T3;Coimbra;Coimbra;São João do Campo;]4, 20.7];2;29.84;06;0603;060320
2023T3;Coimbra;Coimbra;Torres do Mondego;]4, 20.7];1;6.64;06;0603;060329
2023T3;Coimbra;Coimbra;São Martinho de Árvore e Lamarosa;]4, 20.7];5;68.1;06;0603;060337
2023T3;Coimbra;Coimbra;São Martinho do Bispo e Ribeira de Frades;]4, 20.7];14;148.94;06;0603;060338
2023T3;Lisboa;Lisboa;São Vicente;]4, 20.7];1;15.0;11;1106;110667
2023T3;Lisboa;Loures;Lousa;]4, 20.7];4;33.75;11;1107;110708
2023T3;Lisboa;Loures;Moscavide e Portela;]4, 20.7];1;20.0;11;1107;110726
2023T3;Lisboa;Loures;Santa Iria de Azoia, São João da Talha e Bobadela;]4, 20.7];16;155.25;11;1107;110728
2023T3;Lisboa;Loures;Santo António dos Cavaleiros e Frielas;]4, 20.7];3;30.38;11;1107;110730
2023T3;Lisboa;Lourinhã;Santa Bárbara;]4, 20.7];3;36.98;11;1108;110806
2023T3;Lisboa;Lourinhã;Vimeiro;]4, 20.7];1;10.0;11;1108;110808
2023T3;Lisboa;Lourinhã;Lourinhã e Atalaia;]4, 20.7];25;324.31;11;1108;110812
2023T3;Lisboa;Lourinhã;São Bartolomeu dos Galegos e Moledo;]4, 20.7];6;71.12;11;1108;110814
2023T3;Lisboa;Mafra;Carvoeira;]4, 20.7];3;22.0;11;1109;110902
2023T3;Lisboa;Mafra;Encarnação;]4, 20.7];6;64.65;11;1109;110904
2023T3;Lisboa;Mafra;Mafra;]4, 20.7];24;221.07;11;1109;110909
2023T3;Lisboa;Mafra;Santo Isidoro;]4, 20.7];9;74.08;11;1109;110913
2023T3;Lisboa;Oeiras;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;]4, 20.7];13;100.22;11;1110;111012
2023T3;Lisboa;Oeiras;Carnaxide e Queijas;]4, 20.7];20;158.01;11;1110;111013
2023T3;Lisboa;Sintra;Algueirão-Mem Martins;]4, 20.7];20;192.41;11;1111;111102
2023T3;Lisboa;Sintra;Agualva e Mira-Sintra;]4, 20.7];6;69.72;11;1111;111122
2023T3;Lisboa;Sintra;Cacém e São Marcos;]4, 20.7];6;81.3;11;1111;111124
2023T3;Lisboa;Sintra;Queluz e Belas;]4, 20.7];29;248.92;11;1111;111126
2023T3;Lisboa;Sintra;São João das Lampas e Terrugem;]4, 20.7];44;365.64;11;1111;111127
2023T3;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;]4, 20.7];78;735.64;11;1111;111128
2023T3;Lisboa;Sobral de Monte Agraço;Sapataria;]4, 20.7];7;69.45;11;1112;111202
2023T3;Lisboa;Torres Vedras;Ventosa;]4, 20.7];1;10.0;11;1113;111318
2023T3;Lisboa;Torres Vedras;Santa Maria, São Pedro e Matacães;]4, 20.7];26;307.65;11;1113;111326
2023T3;Lisboa;Vila Franca de Xira;Vialonga;]4, 20.7];15;157.9;11;1114;111408
2023T3;Lisboa;Vila Franca de Xira;Castanheira do Ribatejo e Cachoeiras;]4, 20.7];6;48.48;11;1114;111414
2023T3;Lisboa;Vila Franca de Xira;Póvoa de Santa Iria e Forte da Casa;]4, 20.7];10;62.92;11;1114;111415
2023T3;Lisboa;Amadora;Encosta do Sol;]4, 20.7];3;52.01;11;1115;111514
2023T3;Lisboa;Amadora;Mina de Água;]4, 20.7];3;24.21;11;1115;111516
2023T3;Lisboa;Odivelas;Póvoa de Santo Adrião e Olival Basto;]4, 20.7];3;38.82;11;1116;111609
2023T3;Lisboa;Odivelas;Ramada e Caneças;]4, 20.7];15;141.16;11;1116;111610
2023T3;Portalegre;Alter do Chão;Alter do Chão;]4, 20.7];7;74.17;12;1201;120101
2023T3;Portalegre;Alter do Chão;Chancelaria;]4, 20.7];2;18.2;12;1201;120102
2023T3;Portalegre;Alter do Chão;Cunheira;]4, 20.7];2;20.4;12;1201;120104
2023T3;Portalegre;Arronches;Assunção;]4, 20.7];3;20.06;12;1202;120201
2023T3;Portalegre;Arronches;Esperança;]4, 20.7];1;16.38;12;1202;120202
2023T3;Portalegre;Castelo de Vide;Nossa Senhora da Graça de Póvoa e Meadas;]4, 20.7];1;8.96;12;1205;120501
2023T3;Portalegre;Castelo de Vide;Santa Maria da Devesa;]4, 20.7];3;18.36;12;1205;120502
2023T3;Portalegre;Castelo de Vide;São João Baptista;]4, 20.7];1;7.36;12;1205;120504
2023T3;Portalegre;Elvas;Assunção, Ajuda, Salvador e Santo Ildefonso;]4, 20.7];3;23.0;12;1207;120712
2023T3;Portalegre;Elvas;Barbacena e Vila Fernando;]4, 20.7];1;14.63;12;1207;120714
2023T3;Portalegre;Monforte;Assumar;]4, 20.7];1;10.8;12;1211;121101
2023T3;Portalegre;Monforte;Monforte;]4, 20.7];5;75.58;12;1211;121102
2023T3;Portalegre;Nisa;Montalvão;]4, 20.7];2;10.52;12;1212;121205
2023T3;Portalegre;Nisa;Tolosa;]4, 20.7];1;12.0;12;1212;121210
2023T3;Portalegre;Portalegre;Alegrete;]4, 20.7];4;30.0;12;1214;121402
2023T3;Portalegre;Portalegre;Urra;]4, 20.7];10;118.82;12;1214;121410
2023T3;Portalegre;Portalegre;Ribeira de Nisa e Carreiras;]4, 20.7];5;46.52;12;1214;121413
2023T3;Portalegre;Sousel;Casa Branca;]4, 20.7];3;41.0;12;1215;121502
2023T3;Porto;Amarante;Louredo;]4, 20.7];2;10.45;13;1301;130120
2023T3;Porto;Amarante;Mancelos;]4, 20.7];4;23.08;13;1301;130123
2023T3;Porto;Amarante;Padronelo;]4, 20.7];2;30.0;13;1301;130126
2023T3;Porto;Amarante;Telões;]4, 20.7];4;26.55;13;1301;130135
2023T3;Porto;Amarante;Vila Caiz;]4, 20.7];1;5.8;13;1301;130138
2023T3;Porto;Amarante;Aboadela, Sanche e Várzea;]4, 20.7];2;28.0;13;1301;130141
2023T3;Porto;Baião;Campelo e Ovil;]4, 20.7];2;13.52;13;1302;130223
2023T3;Porto;Baião;Santa Cruz do Douro e São Tomé de Covelas;]4, 20.7];2;11.0;13;1302;130225
2023T3;Porto;Felgueiras;Aião;]4, 20.7];1;20.0;13;1303;130301
2023T3;Porto;Felgueiras;Airães;]4, 20.7];5;44.2;13;1303;130302
2023T3;Porto;Felgueiras;Regilde;]4, 20.7];2;22.0;13;1303;130318
2023T3;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;]4, 20.7];27;268.69;13;1303;130335
2023T3;Porto;Felgueiras;Pedreira, Rande e Sernande;]4, 20.7];11;100.46;13;1303;130336
2023T3;Porto;Felgueiras;Vila Cova da Lixa e Borba de Godim;]4, 20.7];3;21.9;13;1303;130339
2023T3;Porto;Lousada;Aveleda;]4, 20.7];2;30.0;13;1305;130502
2023T3;Porto;Lousada;Lodares;]4, 20.7];1;19.32;13;1305;130510
2023T3;Porto;Lousada;Sousela;]4, 20.7];2;27.0;13;1305;130524
2023T3;Porto;Lousada;Torno;]4, 20.7];2;14.08;13;1305;130525
2023T3;Porto;Lousada;Nespereira e Casais;]4, 20.7];1;8.26;13;1305;130531
2023T3;Porto;Lousada;Silvares, Pias, Nogueira e Alvarenga;]4, 20.7];4;46.34;13;1305;130532
2023T3;Porto;Maia;Vila Nova da Telha;]4, 20.7];3;43.0;13;1306;130616
2023T3;Porto;Maia;Pedrouços;]4, 20.7];2;23.4;13;1306;130617
2023T3;Porto;Maia;Cidade da Maia;]4, 20.7];19;157.98;13;1306;130619
2023T3;Porto;Marco de Canaveses;Vila Boa do Bispo;]4, 20.7];3;23.78;13;1307;130730
2023T3;Porto;Marco de Canaveses;Alpendorada, Várzea e Torrão;]4, 20.7];10;108.2;13;1307;130732
2023T3;Porto;Marco de Canaveses;Santo Isidoro e Livração;]4, 20.7];1;4.27;13;1307;130735
2023T3;Porto;Marco de Canaveses;Marco;]4, 20.7];12;114.66;13;1307;130736
2023T3;Porto;Marco de Canaveses;Vila Boa de Quires e Maureles;]4, 20.7];1;20.0;13;1307;130741
2023T3;Porto;Matosinhos;Matosinhos e Leça da Palmeira;]4, 20.7];24;231.72;13;1308;130812
2023T3;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;]4, 20.7];14;125.62;13;1308;130814
2023T3;Porto;Paços de Ferreira;Eiriz;]4, 20.7];1;4.06;13;1309;130904
2023T3;Porto;Paços de Ferreira;Ferreira;]4, 20.7];8;98.2;13;1309;130905
2023T3;Porto;Paços de Ferreira;Figueiró;]4, 20.7];6;83.18;13;1309;130906
2023T3;Porto;Paços de Ferreira;Meixomil;]4, 20.7];6;59.19;13;1309;130910
2023T3;Porto;Paços de Ferreira;Penamaior;]4, 20.7];6;74.16;13;1309;130913
2023T3;Porto;Paços de Ferreira;Frazão Arreigada;]4, 20.7];9;136.52;13;1309;130917
2023T3;Porto;Paredes;Astromil;]4, 20.7];2;29.25;13;1310;131002
2023T3;Porto;Paredes;Baltar;]4, 20.7];2;9.86;13;1310;131003
2023T3;Porto;Paredes;Cete;]4, 20.7];1;12.0;13;1310;131008
2023T3;Porto;Paredes;Cristelo;]4, 20.7];3;35.83;13;1310;131009
2023T3;Porto;Paredes;Recarei;]4, 20.7];3;34.96;13;1310;131019
2023T3;Porto;Penafiel;Abragão;]4, 20.7];3;34.1;13;1311;131101
2023T3;Porto;Penafiel;Boelhe;]4, 20.7];1;6.0;13;1311;131102
2023T3;Porto;Penafiel;Bustelo;]4, 20.7];6;71.15;13;1311;131103
2023T3;Porto;Penafiel;Duas Igrejas;]4, 20.7];2;23.0;13;1311;131109
2023T3;Porto;Penafiel;Eja;]4, 20.7];1;20.0;13;1311;131110
2023T3;Porto;Penafiel;Perozelo;]4, 20.7];1;4.5;13;1311;131125
2023T3;Porto;Penafiel;Rio de Moinhos;]4, 20.7];4;52.3;13;1311;131129
2023T3;Porto;Penafiel;Rio Mau;]4, 20.7];2;12.5;13;1311;131138
2023T3;Porto;Penafiel;Luzim e Vila Cova;]4, 20.7];1;13.77;13;1311;131140
2023T3;Porto;Penafiel;Guilhufe e Urrô;]4, 20.7];7;58.23;13;1311;131141
2023T3;Porto;Penafiel;Termas de São Vicente;]4, 20.7];3;32.25;13;1311;131143
2023T3;Porto;Porto;Campanhã;]4, 20.7];8;106.06;13;1312;131203
2023T3;Porto;Póvoa de Varzim;Estela;]4, 20.7];7;69.0;13;1313;131307
2023T3;Porto;Santo Tirso;Água Longa;]4, 20.7];5;50.08;13;1314;131402
2023T3;Porto;Santo Tirso;Aves;]4, 20.7];5;40.38;13;1314;131405
2023T3;Porto;Santo Tirso;Negrelos (São Tomé);]4, 20.7];1;6.3;13;1314;131430
2023T3;Porto;Valongo;Valongo;]4, 20.7];11;98.16;13;1315;131505
2023T3;Porto;Vila do Conde;Azurara;]4, 20.7];3;33.35;13;1316;131604
2023T3;Porto;Vila do Conde;Gião;]4, 20.7];4;30.74;13;1316;131610
2023T3;Porto;Vila do Conde;Guilhabreu;]4, 20.7];3;42.0;13;1316;131611
